user_id,page,timestamp,clicks
808,home,2024-11-24 16:28:46,6
143,checkout,2024-11-24 16:28:47,6
295,checkout,2024-11-24 16:28:48,2
876,product,2024-11-24 16:28:49,1
444,checkout,2024-11-24 16:28:50,9
525,home,2024-11-24 16:28:51,5
871,checkout,2024-11-24 16:28:52,8
630,home,2024-11-24 16:28:53,7
480,home,2024-11-24 16:28:54,5
426,product,2024-11-24 16:28:55,1
4,product,2024-11-24 16:28:56,10
303,home,2024-11-24 16:28:57,8
199,home,2024-11-24 16:28:58,1
603,home,2024-11-24 16:28:59,9
158,product,2024-11-24 16:29:00,3
260,product,2024-11-24 16:29:01,8
672,product,2024-11-24 16:29:02,2
699,product,2024-11-24 16:29:03,8
545,home,2024-11-24 16:29:04,8
88,checkout,2024-11-24 16:29:05,7
248,checkout,2024-11-24 16:29:06,10
927,checkout,2024-11-24 16:29:07,9
425,home,2024-11-24 16:29:08,6
930,home,2024-11-24 16:29:09,1
897,home,2024-11-24 16:29:10,8
455,home,2024-11-24 16:29:11,1
645,product,2024-11-24 16:29:12,5
483,checkout,2024-11-24 16:29:13,1
895,home,2024-11-24 16:29:14,10
725,home,2024-11-24 16:29:15,7
639,checkout,2024-11-24 16:29:16,9
889,home,2024-11-24 16:29:17,4
95,home,2024-11-24 16:29:18,8
666,checkout,2024-11-24 16:29:19,3
252,home,2024-11-24 16:29:20,4
875,home,2024-11-24 16:29:21,1
543,product,2024-11-24 16:29:22,9
917,home,2024-11-24 16:29:23,1
471,home,2024-11-24 16:29:24,10
28,home,2024-11-24 16:29:25,2
381,checkout,2024-11-24 16:29:26,10
482,product,2024-11-24 16:29:27,9
908,home,2024-11-24 16:29:28,3
653,checkout,2024-11-24 16:29:29,5
252,checkout,2024-11-24 16:29:30,4
925,home,2024-11-24 16:29:31,8
928,product,2024-11-24 16:29:32,1
301,home,2024-11-24 16:29:33,7
603,product,2024-11-24 16:29:34,5
42,product,2024-11-24 16:29:35,1
553,product,2024-11-24 16:29:36,8
382,home,2024-11-24 16:29:37,2
576,checkout,2024-11-24 16:29:38,4
733,checkout,2024-11-24 16:29:39,4
334,checkout,2024-11-24 16:29:40,4
586,product,2024-11-24 16:29:41,5
325,checkout,2024-11-24 16:29:42,8
81,home,2024-11-24 16:29:43,10
424,checkout,2024-11-24 16:29:44,9
232,checkout,2024-11-24 16:29:45,10
210,checkout,2024-11-24 16:29:46,7
126,home,2024-11-24 16:29:47,1
19,home,2024-11-24 16:29:48,1
351,home,2024-11-24 16:29:49,6
94,checkout,2024-11-24 16:29:50,8
900,product,2024-11-24 16:29:51,9
457,product,2024-11-24 16:29:52,10
657,home,2024-11-24 16:29:53,3
381,home,2024-11-24 16:29:54,5
385,checkout,2024-11-24 16:29:55,1
871,home,2024-11-24 16:29:56,6
160,home,2024-11-24 16:29:57,9
279,checkout,2024-11-24 16:29:58,10
999,checkout,2024-11-24 16:29:59,5
743,product,2024-11-24 16:30:00,1
719,home,2024-11-24 16:30:01,10
211,home,2024-11-24 16:30:02,7
975,product,2024-11-24 16:30:03,4
482,product,2024-11-24 16:30:04,9
34,checkout,2024-11-24 16:30:05,10
374,product,2024-11-24 16:30:06,5
791,checkout,2024-11-24 16:30:07,5
643,product,2024-11-24 16:30:08,7
73,checkout,2024-11-24 16:30:09,1
466,product,2024-11-24 16:30:10,1
333,checkout,2024-11-24 16:30:11,3
555,product,2024-11-24 16:30:12,8
131,checkout,2024-11-24 16:30:13,6
26,product,2024-11-24 16:30:14,4
100,product,2024-11-24 16:30:15,8
481,product,2024-11-24 16:30:16,9
108,checkout,2024-11-24 16:30:17,3
47,home,2024-11-24 16:30:18,10
